device_id,timestamp,x,y,status
14,12,2343,2688,1
15,12,2364,2662,1
16,12,3374,2836,1
17,12,4213,3260,1
18,12,4519,2141,1
19,12,2950,3400,1
20,12,2500,3221,1
1,13,3916,3654,1
2,13,3903,3724,1
3,13,3929,3680,1
4,13,3956,3916,1
5,13,5311,3125,1
6,13,5756,3182,1
7,13,4178,1862,1
8,13,4533,1975,1
9,13,5713,1949,1
10,13,4030,996,1
11,13,3947,1005,1
12,13,3995,1075,1
13,13,2452,1621,1
14,13,2404,2561,1
15,13,2364,2662,1
16,13,3357,2801,1
17,13,4213,3260,1
18,13,4576,2141,1
19,13,2981,3365,1
20,13,2487,3379,1
1,14,3916,3654,1
2,14,3942,3706,1
3,14,3942,3750,1
4,14,3785,3907,1
5,14,5267,3147,1
6,14,5708,3177,1
7,14,4178,1862,1
8,14,4598,1975,1
9,14,5796,1967,1
10,14,4030,996,1
11,14,3947,1005,1
12,14,4043,1084,1
13,14,2439,1687,1
14,14,2377,2504,1
15,14,2565,2622,1
16,14,3374,2854,1
17,14,4213,3269,1
18,14,4607,2141,1
19,14,3007,3330,1
20,14,2482,3400,1
1,15,3916,3654,1
2,15,3956,3671,1
3,15,3977,3781,1
4,15,3864,3903,1
5,15,5241,3129,1
6,15,5695,3090,1
7,15,4178,1862,1
8,15,4655,1975,1
9,15,5844,1975,1
10,15,4030,996,1
11,15,3947,1005,1
12,15,4004,1162,1
13,15,2395,1709,1
14,15,2325,2465,1
15,15,2465,2614,1
16,15,3374,2863,1
17,15,4213,3269,1
18,15,4703,2141,1
19,15,3099,3260,1
20,15,2482,3475,1
1,16,3916,3654,1
2,16,3956,3636,1
3,16,3899,3846,1
4,16,3864,3903,1
5,16,5232,3077,1
6,16,5695,3103,1
7,16,4178,1862,1
8,16,4725,1975,1
9,16,5923,1975,1
10,16,4030,996,1
11,16,3947,1005,1
12,16,3890,1237,1
13,16,2395,1709,1
14,16,2273,2544,1
15,16,2474,2596,1
16,16,3374,2893,1
17,16,4213,3269,1
18,16,4769,2141,1
19,16,3147,3256,1
20,16,2482,3497,1
1,17,3916,3654,1
2,17,3951,3636,1
3,17,3986,3877,1
4,17,3929,3925,1
5,17,5289,3051,1
6,17,5809,3129,1
7,17,4165,1870,1
8,17,4725,1975,1
9,17,6093,1958,1
10,17,4030,996,1
11,17,3947,1005,1
12,17,3846,1272,1
13,17,2395,1709,1
14,17,2351,2583,1
15,17,2430,2622,1
16,17,3379,2915,1
17,17,4213,3191,1
18,17,4847,2141,1
19,17,3164,3260,1
20,17,2482,3514,1
1,18,3916,3654,1
2,18,3951,3636,1
3,18,3851,3925,1
4,18,3938,3934,1
5,18,5398,3020,1
6,18,5590,3199,1
7,18,4157,1879,1
8,18,4725,1975,1
9,18,6124,1910,1
10,18,4021,996,1
11,18,3947,1005,1
12,18,3759,1232,1
13,18,2360,1748,1
14,18,2421,2614,1
15,18,2461,2644,1
16,18,3383,2981,1
17,18,4196,3156,1
18,18,4882,2141,1
19,18,3186,3282,1
20,18,2447,3549,1
1,19,3916,3654,1
2,19,3951,3636,1
3,19,3877,3636,1
4,19,3942,3934,1
5,19,5477,3024,1
6,19,5516,3269,1
7,19,4143,1967,1
8,19,4760,1967,1
9,19,6137,1774,1
10,19,4021,996,1
11,19,3947,1005,1
12,19,3741,1215,1
13,19,2312,1800,1
14,19,2478,2640,1
15,19,2461,2644,1
16,19,3400,3064,1
17,19,4196,3125,1
18,19,4974,2141,1
19,19,3221,3313,1
20,19,2426,3566,1
1,20,3916,3654,1
2,20,3951,3636,1
3,20,3864,3763,1
4,20,3982,3934,1
5,20,5407,3081,1
6,20,5481,3278,1
7,20,4161,1918,1
8,20,4790,1923,1
9,20,6163,1687,1
10,20,4021,1005,1
11,20,3947,1005,1
12,20,3711,1215,1
13,20,2259,1849,1
14,20,2487,2657,1
15,20,2434,2718,1
16,20,3400,3024,1
17,20,4183,3090,1
18,20,5044,2141,1
19,20,3234,3317,1
20,20,2404,3566,1
1,21,3916,3654,1
2,21,3951,3636,1
3,21,3925,3737,1
4,21,3903,4021,1
5,21,5324,3151,1
6,21,5534,3291,1
