4,4,2788,3254
8,5,4312,1355
8,4,2788,3254
9,5,4312,1354
9,4,2788,3254
10,5,4310,1354
10,4,2788,3254
11,5,4311,1354
11,4,2788,3254
12,5,4315,1357
12,4,2788,3254
13,5,4314,1355
13,4,2788,3254
14,5,4314,1355
14,4,2788,3254
15,5,4314,1355
15,4,2788,3254
16,5,4314,1355
16,4,2788,3254
17,5,4314,1355
17,4,2788,3254
18,5,4315,1358
18,4,2788,3254
19,5,4315,1358
20,5,4315,1358
21,5,4315,1358
22,5,4315,1358
22,4,4916,3210
22,4,2788,3254
23,5,4316,1359
23,4,4914,3210
23,4,2788,3254
24,5,4315,1360
24,4,4914,3210
24,4,2788,3254
